Supermarket,Address,Latitude,Longitude,Rating,Review,Delivery,Price
Northgate Market,944 E Slauson Ave,33.9884528446097,-118.258182071149,3.5,49,[],$
Marukai Market,123 S Onizuka St,34.050194,-118.242272,4.0,445,[],$$
Whole Foods Market,788 S Grand Ave,34.0458759668836,-118.257620123204,3.5,613,[],$$
Ralphs,645 W 9th St,34.0456704953933,-118.260824630019,3.5,503,[],$$
Galleria Market,3250 W Olympic Blvd,34.052344,-118.308386,4.0,241,[],$$
Trader Joe's,3131 S Hoover St,34.026096,-118.284665,4.0,82,[],$$
H Mart - Los Angeles I,621 S. Western Ave.,34.06273,-118.30946,3.5,203,[],$$
Northgate Market,2633 Santa Ana St,33.9646911621094,-118.223983764648,3.0,56,[],$
Little Tokyo Market Place,333 S Alameda St,34.0447288108421,-118.239063525979,3.5,259,[],$$
Ralphs,2600 S Vermont Ave,34.0320237174903,-118.290662739486,3.0,173,[],$$
Food 4 Less,4400 Slauson Ave,33.98672,-118.18707,3.5,15,[],$$
El Super,1301 E Gage Ave,33.982618,-118.251546,1.5,29,[],$$
Superior Grocers,7316 Compton Ave,33.97331,-118.24699,2.5,12,[],$
Nijiya Market - Little Tokyo,124 Japanese Village Plz Mall,34.0489764,-118.2397023,4.0,265,[],$$
Wang Globalnet,2465 Fruitland Ave,33.997,-118.22859,2.5,3,[],
Grow DTLA,300 S Santa Fe Ave,34.045259,-118.232425,4.0,56,"['delivery', 'pickup']",$$
Canton Food,750 S Alameda St,34.031364440918,-118.237701416016,4.5,57,[],$$
Food 4 Less,2750 E 1st St,34.0415781,-118.205309,3.0,46,[],$
Albertsons,7676 Firestone Blvd,33.9455311140525,-118.144475549704,3.5,57,[],$$
Downtown Los Angeles Farmer's Market,650 W 5th St,34.047715,-118.250111,4.0,26,[],$
Grocery Outlet Bargain Market,1120 W 6th St,34.053935,-118.263727,4.0,47,[],$
Lucky,4155 Tweedy Blvd,33.9442329406738,-118.19864654541,2.0,45,[],$$
Dos Toros Carniceria,7029 Santa Fe Ave,33.97549,-118.23064,4.5,59,[],$$
Stater Bros. Markets,7814 Firestone Blvd,33.9443721,-118.1416874,3.5,71,[],$$
LAX-C,1100 N Main St,34.06316,-118.23256,3.5,155,[],$
Ai Hoa Market,860 N Hill St,34.063959595698,-118.238793,3.0,68,[],$
Smart & Final Extra!,845 S Figueroa St,34.047353,-118.262499,4.0,84,[],$
Big Saver Foods,4260 Charter St,34.0039,-118.20219,2.5,2,[],$
Ralphs,3300 W Slauson Ave,33.9888751,-118.329594,3.0,30,[],$$
Hannam Chain Supermarket,2740 W Olympic Blvd,34.0520668029785,-118.293182373047,3.5,192,[],$$
HanKook Supermarket,124 North Western Ave,34.074117,-118.308917,4.0,197,[],$$
Fisherman's Outlet,529 S Central Ave,34.04083,-118.24018,4.0,1117,['delivery'],$$
Daiso Japan,333 S Alameda St,34.0443222,-118.2382339,4.0,130,[],$
Smart & Final,3607 S Vermont Ave,34.022821,-118.292266,4.0,27,[],$
Vons,1342 N Alvarado St,34.07971,-118.26134,2.5,127,[],$$
Los Angeles Fish Company,420 Stanford Ave,34.043313,-118.2403397,4.5,95,[],$$
Sam's Market,4103 S Hoover St,34.00892,-118.28742,3.5,2,[],
South Fresh Fruit,780 S Alameda St,34.0309292,-118.2377127,5.0,1,[],
Galleria Market,440 S Vermont Ave,34.06579,-118.29108,3.5,170,[],$$
Koreatown Galleria,3250 W Olympic Blvd,34.052237,-118.308515,4.0,279,[],$$
Ralphs,11922 S Vermont Ave,33.9246253967285,-118.291046142578,3.0,35,[],$$
California Market,450 S Western Ave,34.0657662051735,-118.308519087732,3.5,130,[],$$
Ralphs,2230 S Atlantic Blvd,34.03709,-118.14478,3.0,116,[],$$
Super A Foods,8116 California Ave,33.96179,-118.20432,2.5,30,[],$$
Artsakh Produce,5345 Santa Monica Blvd,34.0908199297417,-118.305812183711,5.0,1,[],
Mrs. Winstons - LA's Best Salad & Juice Bar,888 S Figueroa St,34.04681,-118.26172,4.5,66,"['delivery', 'pickup']",$$
CVS Pharmacy,3208 E Florence Ave,33.97222,-118.21024,4.5,4,[],
Northgate Market,425 S Soto St,34.040254,-118.213061,3.0,41,[],$$
Aldi,5830 Firestone Blvd,33.9484251741108,-118.163454870817,4.0,51,[],$
Lassens Natural Foods & Vitamins,1631 W Sunset Blvd,34.0777350433413,-118.257853327657,3.0,213,['delivery'],$$
