Supermarket,Address,Latitude,Longitude,Rating,Review,Delivery,Price
Northgate Market,944 E Slauson Ave,33.9884528446097,-118.258182071149,3.5,49,[],$
Marukai Market,123 S Onizuka St,34.050194,-118.242272,4.0,445,[],$$
Whole Foods Market,788 S Grand Ave,34.0458759668836,-118.257620123204,3.5,613,[],$$
Ralphs,645 W 9th St,34.0456704953933,-118.260824630019,3.5,503,[],$$
Trader Joe's,3131 S Hoover St,34.026096,-118.284665,4.0,82,[],$$
Northgate Market,2633 Santa Ana St,33.9646911621094,-118.223983764648,3.0,56,[],$
Little Tokyo Market Place,333 S Alameda St,34.0447288108421,-118.239063525979,3.5,259,[],$$
Ralphs,2600 S Vermont Ave,34.0320237174903,-118.290662739486,3.0,173,[],$$
Food 4 Less,4400 Slauson Ave,33.98672,-118.18707,3.5,15,[],$$
El Super,1301 E Gage Ave,33.982618,-118.251546,1.5,29,[],$$
Superior Grocers,7316 Compton Ave,33.97331,-118.24699,2.5,12,[],$
Nijiya Market - Little Tokyo,124 Japanese Village Plz Mall,34.0489764,-118.2397023,4.0,265,[],$$
Wang Globalnet,2465 Fruitland Ave,33.997,-118.22859,2.5,3,[],
Grow DTLA,300 S Santa Fe Ave,34.045259,-118.232425,4.0,56,"['delivery', 'pickup']",$$
Canton Food,750 S Alameda St,34.031364440918,-118.237701416016,4.5,57,[],$$
Food 4 Less,2750 E 1st St,34.0415781,-118.205309,3.0,46,[],$
Downtown Los Angeles Farmer's Market,650 W 5th St,34.047715,-118.250111,4.0,26,[],$
Grocery Outlet Bargain Market,1120 W 6th St,34.053935,-118.263727,4.0,47,[],$
Dos Toros Carniceria,7029 Santa Fe Ave,33.97549,-118.23064,4.5,59,[],$$
LAX-C,1100 N Main St,34.06316,-118.23256,3.5,155,[],$
Smart & Final Extra!,845 S Figueroa St,34.047353,-118.262499,4.0,84,[],$
Big Saver Foods,4260 Charter St,34.0039,-118.20219,2.5,2,[],$
Hannam Chain Supermarket,2740 W Olympic Blvd,34.0520668029785,-118.293182373047,3.5,192,[],$$
Fisherman's Outlet,529 S Central Ave,34.04083,-118.24018,4.0,1117,['delivery'],$$
Daiso Japan,333 S Alameda St,34.0443222,-118.2382339,4.0,130,[],$
Smart & Final,3607 S Vermont Ave,34.022821,-118.292266,4.0,27,[],$
Los Angeles Fish Company,420 Stanford Ave,34.043313,-118.2403397,4.5,95,[],$$
Sam's Market,4103 S Hoover St,34.00892,-118.28742,3.5,2,[],
South Fresh Fruit,780 S Alameda St,34.0309292,-118.2377127,5.0,1,[],
Super A Foods,8116 California Ave,33.96179,-118.20432,2.5,30,[],$$
Mrs. Winstons - LA's Best Salad & Juice Bar,888 S Figueroa St,34.04681,-118.26172,4.5,66,"['delivery', 'pickup']",$$
CVS Pharmacy,3208 E Florence Ave,33.97222,-118.21024,4.5,4,[],
Northgate Market,425 S Soto St,34.040254,-118.213061,3.0,41,[],$$
